Version:,,,,,,
TriggerVersion:,v4,,,,,
0,0.03378288,-7.07,-4.8,0,0,0
0,0.04793358,-7.07,-4.8,0,0,0
0,0.02097519,-7.07,-4.8,0,0,0
0,0.03186782,-7.07,-4.8,0,0,0
0,0.03341758,-7.07,-4.8,0,0,0
0,0.01427737,-7.07,-4.8,0,0,0
0,0.03213344,-7.07,-4.8,0,0,0
0,0.03762917,-7.07,-4.8,0,0,0
0,0.03181155,-7.07,-4.8,0,0,0
0,0.03332487,-7.07,-4.8,0,0,0
0,0.03327161,-7.07,-4.8,0,0,0
0,0.03403722,-7.07,-4.8,0,0,0
0,0.03278602,-7.07,-4.8,0,0,0
0,0.03287876,-7.07,-4.8,0,0,0
0,0.03358817,-7.07,-4.8,0,0,0
0,0.01451684,-7.07,-4.8,0,0,0
0,0.03286155,-7.07,-4.8,0,0,0
0,0.03749549,-7.07,-4.8,0,0,0
0,0.01361916,-7.07,-4.8,0,0,0
0,0.03230987,-7.07,-4.8,0,0,0
0,0.03744227,-7.07,-4.8,0,0,0
0,0.03225051,-7.07,-4.8,0,0,0
0,0.01398067,-7.07,-4.8,0,0,0
0,0.03343359,-7.07,-4.8,0,0,0
0,0.03667596,-7.07,-4.8,0,0,0
0,0.01391764,-7.07,-4.8,0,0,0
0,0.03247806,-7.07,-4.8,0,0,0
0,0.03752206,-7.07,-4.8,0,0,0
0,0.03250797,-7.07,-4.8,0,0,0
0,0.03285586,-7.07,-4.8,0,0,0
0,0.03358536,-7.07,-4.8,0,0,0
0,0.01515276,-7.07,-4.8,0,0,0
0,0.03182474,-7.07,-4.8,0,0,0
0,0.03745108,-7.07,-4.8,0,0,0
0,0.04653393,-7.07,-4.8,0,0,0
0,0.02055823,-7.07,-4.8,0,0,0
0,0.03133947,-7.07,-4.8,0,0,0
0,0.03385999,-7.07,-4.8,0,0,0
0,0.01431426,-7.07,-4.8,0,0,0
0,0.03311459,-7.07,-4.8,0,0,0
0,0.03710391,-7.07,-4.8,0,0,0
0,0.01394992,-7.07,-4.8,0,0,0
0,0.03193669,-7.07,-4.8,0,0,0
0,0.03761408,-7.07,-4.8,0,0,0
0,0.03193351,-7.07,-4.8,0,0,0
0,0.0143338,-7.07,-4.8,0,0,0
0,0.03288675,-7.07,-4.8,0,0,0
0,0.03774625,-7.07,-4.8,0,0,0
0,0.01345655,-7.07,-4.8,0,0,0
0,0.03210727,-7.07,-4.8,0,0,0
0,0.03771105,-7.07,-4.8,0,0,0
0,0.04659287,-7.07,-4.8,0,0,0
0,0.01979307,-7.07,-4.8,0,0,0
0,0.03223738,-7.07,-4.8,0,0,0
21,0.03364448,-7.07,-4.8,0,1,2
0,0.03367105,-7.07,-4.8,0,0,0
0,0.03493552,-7.07,-4.8,0,0,0
0,0.03354684,-7.07,-4.8,0,0,0
0,0.00820475,-7.07,-4.8,0,0,0
0,0.00818943,-7.07,-4.8,0,0,0
41,0.04523423,-7.07,-4.8,0,1,4
0,0.03909696,-7.07,-4.8,0,0,0
0,0.03298722,-7.07,-4.8,0,0,0
0,0.03328206,-7.07,-4.8,0,0,0
0,0.00468599,-7.07,-4.8,0,0,0
0,0.00819635,-7.07,-4.8,0,0,0
0,0.0151622,-7.07,-4.8,0,0,0
0,0.03730153,-7.07,-4.8,0,0,0
0,0.04622636,-7.07,-4.8,0,0,0
0,0.03772613,-7.07,-4.8,0,0,0
0,0.03157068,-7.07,-4.8,0,0,0
0,0.03299474,-7.07,-4.8,0,0,0
0,0.01481813,-7.07,-4.8,0,0,0
0,0.03337458,-7.07,-4.8,0,0,0
0,0.03810201,-7.07,-4.8,0,0,0
0,0.01252897,-7.07,-4.8,0,0,0
0,0.0321775,-7.07,-4.8,0,0,0
0,0.03742183,-7.07,-4.8,0,0,0
0,0.03221168,-7.07,-4.8,0,0,0
0,0.03329798,-7.07,-4.8,0,0,0
0,0.03350109,-7.07,-4.8,0,0,0
0,0.03312781,-7.07,-4.8,0,0,0
0,0.03364039,-7.07,-4.8,0,0,0
0,0.03359839,-7.07,-4.8,0,0,0
0,0.03253498,-7.07,-4.8,0,0,0
0,0.03350474,-7.07,-4.8,0,0,0
0,0.03307252,-7.07,-4.8,0,0,0
0,0.01590652,-7.07,-4.8,0,0,0
