Version: Taxi Continuous/Discontinuous v4.1.8942.21304
TriggerVersion: v4
TaskType: Continuous
MazeName: Open Maze MD2
NumberOfTrials: 120
PosterLocations: 
CompletionWindow: 100000
TimeoutDuration: 1000
IntersessionInterval: 1000
RewardTime: 1000
RewardViewCriteria: 45
RotationSpeed: 102.8615
MovementSpeed: 7.501485
JoystickDeadzone: 0
AngleRestrictionAmount: 0
RequiredDistance: 1
ProximityDistance: 1
DirectionErrorDistance: 0.5
isJoystickEnabled: False
isReverseEnabled: True
isForwardEnabled: True
isRightEnabled: True
isLeftEnabled: True
isYInverted: False
isXInverted: False
RestartOnTrialFail: False
ResetPositionOnTrial: False
FaceRandomDirectionOnStart: False
MultipleWaypoints: False
DisableInterSessionBlackout: True
ResetPositionOnSession: False
EnableDirectionError: False
DisableHint: False
EnableRewardAreaError: False
RewardAreaErrorTime: -1
--- Start of Dataset --- 
 0 0.01679221 -7.0700 -4.8000 0.0000
 0 0.01654349 -7.0700 -4.8000 0.0000
 0 0.01662073 -7.0700 -4.8000 0.0000
 0 0.01677217 -7.0700 -4.8000 0.0000
 0 0.01641618 -7.0700 -4.8000 0.0000
 0 0.01696460 -7.0700 -4.8000 0.0000
 0 0.01651705 -7.0700 -4.8000 0.0000
 0 0.01685427 -7.0700 -4.8000 0.0000
 0 0.01673085 -7.0700 -4.8000 0.0000
 0 0.01664871 -7.0700 -4.8000 0.0000
 0 0.01666717 -7.0700 -4.8000 0.0000
 0 0.01669751 -7.0700 -4.8000 0.0000
 0 0.01666714 -7.0700 -4.8000 0.0000
 0 0.01676959 -7.0700 -4.8000 0.0000
 0 0.01661447 -7.0700 -4.8000 0.0000
 0 0.01662408 -7.0700 -4.8000 0.0000
 0 0.01671661 -7.0700 -4.8000 0.0000
 0 0.01674437 -7.0700 -4.8000 0.0000
 0 0.01664246 -7.0700 -4.8000 0.0000
 0 0.01652515 -7.0700 -4.8000 0.0000
 0 0.01682347 -7.0700 -4.8000 0.0000
 0 0.01681176 -7.0700 -4.8000 0.0000
 0 0.01640734 -7.0700 -4.8000 0.0000
 0 0.01675885 -7.0700 -4.8000 0.0000
 0 0.01660207 -7.0700 -4.8000 0.0000
 0 0.01683748 -7.0700 -4.8000 0.0000
 0 0.01656825 -7.0700 -4.8000 0.0000
 0 0.01665490 -7.0700 -4.8000 0.0000
 0 0.01671941 -7.0700 -4.8000 0.0000
 0 0.01668986 -7.0700 -4.8000 0.0000
 0 0.01663194 -7.0700 -4.8000 0.0000
 0 0.01679104 -7.0700 -4.8000 0.0000
 0 0.01663380 -7.0700 -4.8000 0.0000
 0 0.01683490 -7.0700 -4.8000 0.0000
 0 0.01654718 -7.0700 -4.8000 0.0000
 0 0.01672447 -7.0700 -4.8000 0.0000
 0 0.01662424 -7.0700 -4.8000 0.0000
 0 0.01662226 -7.0700 -4.8000 0.0000
 0 0.01679433 -7.0700 -4.8000 0.0000
 0 0.01678476 -7.0700 -4.8000 0.0000
 0 0.01646428 -7.0700 -4.8000 0.0000
 0 0.01675679 -7.0700 -4.8000 0.0000
 0 0.01645854 -7.0700 -4.8000 0.0000
 0 0.01670088 -7.0700 -4.8000 0.0000
 0 0.01688655 -7.0700 -4.8000 0.0000
 0 0.01655965 -7.0700 -4.8000 0.0000
 0 0.01687174 -7.0700 -4.8000 0.0000
 0 0.01655745 -7.0700 -4.8000 0.0000
 0 0.01643809 -7.0700 -4.8000 0.0000
 0 0.01686121 -7.0700 -4.8000 0.0000
 0 0.01681871 -7.0700 -4.8000 0.0000
 0 0.01666985 -7.0700 -4.8000 0.0000
 0 0.01667197 -7.0700 -4.8000 0.0000
 0 0.01662919 -7.0700 -4.8000 0.0000
 0 0.01645636 -7.0700 -4.8000 0.0000
 0 0.01699860 -7.0700 -4.8000 0.0000
 0 0.01640323 -7.0700 -4.8000 0.0000
 0 0.01701670 -7.0700 -4.8000 0.0000
 0 0.01652907 -7.0700 -4.8000 0.0000
 0 0.01662104 -7.0700 -4.8000 0.0000
 0 0.01690516 -7.0700 -4.8000 0.0000
 0 0.01636220 -7.0700 -4.8000 0.0000
 0 0.01694509 -7.0700 -4.8000 0.0000
 0 0.01661002 -7.0700 -4.8000 0.0000
 0 0.01678413 -7.0700 -4.8000 0.0000
 0 0.01670231 -7.0700 -4.8000 0.0000
 0 0.01648531 -7.0700 -4.8000 0.0000
 0 0.01670192 -7.0700 -4.8000 0.0000
 0 0.01671464 -7.0700 -4.8000 0.0000
 0 0.01672133 -7.0700 -4.8000 0.0000
 0 0.01662367 -7.0700 -4.8000 0.0000
 0 0.01671675 -7.0700 -4.8000 0.0000
 0 0.01683101 -7.0700 -4.8000 0.0000
 0 0.01655159 -7.0700 -4.8000 0.0000
 0 0.01667371 -7.0700 -4.8000 0.0000
 0 0.01664515 -7.0700 -4.8000 0.0000
 0 0.01664169 -7.0700 -4.8000 0.0000
 0 0.01662870 -7.0700 -4.8000 0.0000
 0 0.01680563 -7.0700 -4.8000 0.0000
 0 0.01667776 -7.0700 -4.8000 0.0000
 0 0.01665324 -7.0700 -4.8000 0.0000
 0 0.01673443 -7.0700 -4.8000 0.0000
 0 0.01662076 -7.0700 -4.8000 0.0000
 0 0.01665211 -7.0700 -4.8000 0.0000
 0 0.01666318 -7.0700 -4.8000 0.0000
 0 0.01672148 -7.0700 -4.8000 0.0000
 0 0.01685865 -7.0700 -4.8000 0.0000
 0 0.01655532 -7.0700 -4.8000 0.0000
 0 0.01660534 -7.0700 -4.8000 0.0000
 0 0.01663956 -7.0700 -4.8000 0.0000
 0 0.01677314 -7.0700 -4.8000 0.0000
 0 0.01673755 -7.0700 -4.8000 0.0000
 0 0.01658531 -7.0700 -4.8000 0.0000
 0 0.01663082 -7.0700 -4.8000 0.0000
 0 0.01671021 -7.0700 -4.8000 0.0000
 0 0.01659958 -7.0700 -4.8000 0.0000
 0 0.01693361 -7.0700 -4.8000 0.0000
 0 0.01648812 -7.0700 -4.8000 0.0000
 0 0.01681530 -7.0700 -4.8000 0.0000
 0 0.01657626 -7.0700 -4.8000 0.0000
 0 0.01661833 -7.0700 -4.8000 0.0000
 0 0.01662691 -7.0700 -4.8000 0.0000
 0 0.01662906 -7.0700 -4.8000 0.0000
 0 0.01694307 -7.0700 -4.8000 0.0000
 0 0.01660972 -7.0700 -4.8000 0.0000
 0 0.01661318 -7.0700 -4.8000 0.0000
 0 0.01663717 -7.0700 -4.8000 0.0000
 0 0.01671402 -7.0700 -4.8000 0.0000
 0 0.01703863 -7.0700 -4.8000 0.0000
 0 0.01640584 -7.0700 -4.8000 0.0000
 0 0.01673494 -7.0700 -4.8000 0.0000
 0 0.01652382 -7.0700 -4.8000 0.0000
 0 0.01672211 -7.0700 -4.8000 0.0000
 0 0.01675202 -7.0700 -4.8000 0.0000
 0 0.01665855 -7.0700 -4.8000 0.0000
 0 0.01671118 -7.0700 -4.8000 0.0000
 0 0.01645216 -7.0700 -4.8000 0.0000
 0 0.01688893 -7.0700 -4.8000 0.0000
 0 0.01679094 -7.0700 -4.8000 0.0000
 0 0.01665426 -7.0700 -4.8000 0.0000
 0 0.01654929 -7.0700 -4.8000 0.0000
 0 0.01672286 -7.0700 -4.8000 0.0000
 0 0.01671411 -7.0700 -4.8000 0.0000
 0 0.01671787 -7.0700 -4.8000 0.0000
 0 0.01646123 -7.0700 -4.8000 0.0000
 0 0.01683782 -7.0700 -4.8000 0.0000
 0 0.01682400 -7.0700 -4.8000 0.0000
 0 0.01650531 -7.0700 -4.8000 0.0000
 0 0.01714893 -7.0700 -4.8000 0.0000
 0 0.01612667 -7.0700 -4.8000 0.0000
 0 0.01688701 -7.0700 -4.8000 0.0000
 0 0.01661418 -7.0700 -4.8000 0.0000
 0 0.01672659 -7.0700 -4.8000 0.0000
 0 0.01653187 -7.0700 -4.8000 0.0000
 0 0.01683065 -7.0700 -4.8000 0.0000
 0 0.01671927 -7.0700 -4.8000 0.0000
 0 0.01662264 -7.0700 -4.8000 0.0000
 0 0.01677871 -7.0700 -4.8000 0.0000
 24 0.01646402 -7.0700 -4.8000 0.0000
 0 0.01685696 -7.0700 -4.8000 0.0000
 0 0.01670182 -7.0700 -4.8000 0.0000
 0 0.01665872 -7.0700 -4.8000 0.0000
 0 0.01658612 -7.0700 -4.8000 0.0000
 0 0.01671216 -7.0700 -4.8000 0.0000
 0 0.01679871 -7.0700 -4.8000 0.0000
 0 0.01660110 -7.0700 -4.8000 0.0000
 0 0.01648223 -7.0700 -4.8000 0.0000
 0 0.01682537 -7.0700 -4.8000 0.0000
 0 0.01673160 -7.0700 -4.8000 0.0000
 0 0.01653918 -7.0700 -4.8000 0.0000
 0 0.01669652 -7.0700 -4.8000 0.0000
 0 0.01661355 -7.0700 -4.8000 0.0000
 0 0.01678032 -7.0700 -4.8000 0.0000
 0 0.01676878 -7.0700 -4.8000 0.0000
 0 0.01660851 -7.0700 -4.8000 0.0000
 0 0.01668128 -7.0700 -4.8000 0.0000
 0 0.01666029 -7.0700 -4.8000 0.0000
 0 0.01676274 -7.0700 -4.8000 0.0000
 0 0.01636898 -7.0700 -4.8000 0.0000
 0 0.01686038 -7.0700 -4.8000 0.0000
 0 0.01657373 -7.0700 -4.8000 0.0000
 0 0.02536094 -7.0700 -3.7148 0.0000
 0 0.00847705 -7.0700 -3.6512 0.0000
 0 0.01593522 -7.0700 -3.5317 0.0000
 0 0.01683905 -7.0700 -3.4054 0.0000
 0 0.01674862 -7.0662 -3.2798 1.7228
 0 0.01646577 -7.0589 -3.1565 3.4165
 0 0.01671453 -7.0476 -3.0316 5.1358
 0 0.01670560 -7.0327 -2.9072 6.8541
 0 0.01651591 -7.0143 -2.7847 8.5530
 0 0.01671297 -6.9919 -2.6613 10.2721
 0 0.01668373 -6.9659 -2.5389 11.9882
 0 0.01678136 -6.9361 -2.4166 13.7144
 0 0.01659970 -6.9029 -2.2965 15.4218
 0 0.01670407 -6.8660 -2.1768 17.1400
 0 0.01662823 -6.8257 -2.0588 18.8504
 0 0.01666336 -6.7818 -1.9417 20.5645
 0 0.01670674 -6.7343 -1.8258 22.2829
 0 0.01663529 -6.6835 -1.7117 23.9941
 0 0.01696499 -6.6283 -1.5971 25.7391
 0 0.01659844 -6.5709 -1.4866 27.4465
 0 0.01671603 -6.5131 -1.3753 27.4465
 0 0.01666246 -6.4555 -1.2644 27.4465
 0 0.01652484 -6.3983 -1.1544 27.4465
 0 0.01669740 -6.3406 -1.0432 27.4465
 0 0.01671100 -6.2828 -0.9320 27.4465
 0 0.01663636 -6.2253 -0.8212 27.4465
 0 0.01669535 -6.1676 -0.7101 27.4465
 0 0.01685578 -6.1093 -0.5979 27.4465
 0 0.01641437 -6.0525 -0.4886 27.4465
 0 0.01678852 -5.9945 -0.3769 27.4465
 0 0.01671969 -5.9367 -0.2655 27.4465
 0 0.01679364 -5.8786 -0.1537 27.4465
 0 0.01648186 -5.8216 -0.0440 27.4465
 0 0.01671158 -5.7639 0.0672 27.4465
 0 0.01654184 -5.7034 0.1756 29.1480
 0 0.01675198 -5.6389 0.2835 30.8711
 0 0.01656480 -5.5720 0.3882 32.5750
 0 0.01673499 -5.5013 0.4919 34.2964
 0 0.01673237 -5.4275 0.5934 36.0175
 0 0.01679612 -5.3504 0.6930 37.7452
 0 0.01666950 -5.2709 0.7896 39.4598
 0 0.01659981 -5.1889 0.8833 41.1673
 0 0.01677383 -5.1061 0.9780 41.1673
 0 0.01665986 -5.0238 1.0721 41.1673
 0 0.01666651 -4.9415 1.1662 41.1673
 0 0.01670436 -4.8590 1.2606 41.1673
 0 0.01669618 -4.7766 1.3549 41.1673
 0 0.01670165 -4.6941 1.4492 41.1673
 0 0.01670087 -4.6117 1.5435 41.1673
 0 0.01652325 -4.5301 1.6368 41.1673
 0 0.01677735 -4.4472 1.7315 41.1673
 0 0.01670177 -4.3648 1.8258 41.1673
 0 0.01683578 -4.2788 1.9184 42.8990
 0 0.01656918 -4.1915 2.0069 44.6034
 0 0.01651592 -4.1019 2.0924 46.3022
 0 0.01679510 -4.0083 2.1767 48.0298
 0 0.01635854 -3.9147 2.2561 49.7125
 0 0.01706251 -3.8145 2.3358 51.4675
 0 0.01662143 -3.7147 2.4105 53.1772
 0 0.01655247 -3.6132 2.4820 54.8799
 0 0.01678995 -3.5080 2.5513 56.6069
 0 0.01669681 -3.4014 2.6170 58.3243
 0 0.01681438 -3.2941 2.6833 58.3243
 0 0.01661705 -3.1880 2.7487 58.3243
 0 0.01642191 -3.0831 2.8134 58.3243
 0 0.01667035 -2.9767 2.8791 58.3243
 0 0.01667780 -2.8702 2.9448 58.3243
 0 0.01680544 -2.7630 3.0110 58.3243
 0 0.01668960 -2.6564 3.0767 58.3243
 0 0.01662775 -2.5503 3.1422 58.3243
 0 0.01677421 -2.4432 3.2083 58.3243
 0 0.01661278 -2.3371 3.2737 58.3243
 0 0.01669783 -2.2305 3.3395 58.3243
 0 0.01656359 -2.1248 3.4048 58.3243
 0 0.01682336 -2.0174 3.4710 58.3243
 0 0.01670401 -1.9107 3.5368 58.3243
 0 0.01669664 -1.8041 3.6026 58.3243
 0 0.01671293 -1.6974 3.6684 58.3243
 0 0.01659491 -1.5915 3.7338 58.3243
 0 0.01678927 -1.4843 3.7999 58.3243
 0 0.01646332 -1.3792 3.8648 58.3243
 0 0.01659204 -1.2733 3.9301 58.3243
 0 0.01676613 -1.1663 3.9962 58.3243
 0 0.01678281 -1.0591 4.0623 58.3243
 0 0.01669942 -0.9525 4.1281 58.3243
 0 0.01670169 -0.8459 4.1939 58.3243
