Version:,Taxi,Continuous/Discontinuous,v4.1.8941.20741,
0,0.0163036,1.8623,7.1561,31.4827
0,0.01679236,1.8623,7.1561,31.4827
0,0.01670388,1.8623,7.1561,31.4827
0,0.01690611,1.8623,7.1561,31.4827
0,0.01652443,1.8623,7.1561,31.4827
0,0.01666196,1.8623,7.1561,31.4827
0,0.01683453,1.8623,7.1561,31.4827
0,0.01656374,1.8623,7.1561,31.4827
0,0.01660521,1.8623,7.1561,31.4827
0,0.01673258,1.8623,7.1561,31.4827
0,0.01666871,1.8623,7.1561,31.4827
0,0.01669957,1.8623,7.1561,31.4827
0,0.01660944,1.8623,7.1561,31.4827
0,0.0167007,1.8623,7.1561,31.4827
0,0.0168761,1.8623,7.1561,31.4827
0,0.01681359,1.8623,7.1561,31.4827
0,0.01650999,1.8623,7.1561,31.4827
0,0.01661598,1.8623,7.1561,31.4827
0,0.01667497,1.8623,7.1561,31.4827
0,0.01660866,1.8623,7.1561,31.4827
0,0.01670258,1.8623,7.1561,31.4827
0,0.01668369,1.8623,7.1561,31.4827
0,0.01671376,1.8623,7.1561,31.4827
0,0.01679537,1.8623,7.1561,31.4827
0,0.01659597,1.8623,7.1561,31.4827
0,0.0165971,1.8623,7.1561,31.4827
0,0.01680625,1.8623,7.1561,31.4827
0,0.01659295,1.8623,7.1561,31.4827
0,0.01670593,1.8623,7.1561,31.4827
0,0.0167481,1.8623,7.1561,31.4827
0,0.01664809,1.8623,7.1561,31.4827
0,0.01651575,1.8623,7.1561,31.4827
0,0.0168868,1.8623,7.1561,31.4827
0,0.01650123,1.8623,7.1561,31.4827
0,0.01679972,1.8623,7.1561,31.4827
0,0.01670419,1.8623,7.1561,31.4827
0,0.01648048,1.8623,7.1561,31.4827
0,0.01693469,1.8623,7.1561,31.4827
0,0.01678576,1.8623,7.1561,31.4827
0,0.01650196,1.8623,7.1561,31.4827
0,0.01662316,1.8623,7.1561,31.4827
0,0.01676664,1.8623,7.1561,31.4827
0,0.01669651,1.8623,7.1561,31.4827
0,0.01650292,1.8623,7.1561,31.4827
0,0.01672931,1.8623,7.1561,31.4827
0,0.01668999,1.8623,7.1561,31.4827
0,0.01667778,1.8623,7.1561,31.4827
0,0.01690438,1.8623,7.1561,31.4827
0,0.01650938,1.8623,7.1561,31.4827
0,0.01668366,1.8623,7.1561,31.4827
0,0.01675272,1.8623,7.1561,31.4827
0,0.01665068,1.8623,7.1561,31.4827
0,0.01663394,1.8623,7.1561,31.4827
0,0.01656707,1.8623,7.1561,31.4827
0,0.01681714,1.8623,7.1561,31.4827
0,0.01667948,1.8623,7.1561,31.4827
0,0.01650233,1.8623,7.1561,31.4827
0,0.01685703,1.8623,7.1561,31.4827
0,0.01664191,1.8623,7.1561,31.4827
0,0.01670887,1.8623,7.1561,31.4827
0,0.01659371,1.8623,7.1561,31.4827
0,0.01700549,1.8623,7.1561,31.4827
0,0.01640685,1.8623,7.1561,31.4827
0,0.01678555,1.8623,7.1561,31.4827
0,0.02203071,1.8623,7.1561,31.4827
0,0.01118383,1.8623,7.1561,31.4827
0,0.01688918,1.8623,7.1561,31.4827
0,0.01653052,1.8623,7.1561,31.4827
0,0.01666932,1.8623,7.1561,31.4827
