Version:,Taxi,Continuous/Discontinuous,v4.1.8942.21304,,,
0,0.0168706,-7.07,-4.8,0,0,0
0,0.0163104,-7.07,-4.8,0,0,0
0,0.01707662,-7.07,-4.8,0,0,0
0,0.01658188,-7.07,-4.8,0,0,0
0,0.01649925,-7.07,-4.8,0,0,0
0,0.01676407,-7.07,-4.8,0,0,0
0,0.01672575,-7.07,-4.8,0,0,0
0,0.01676299,-7.07,-4.8,0,0,0
0,0.01644709,-7.07,-4.8,0,0,0
0,0.01680824,-7.07,-4.8,0,0,0
0,0.01692954,-7.07,-4.8,0,0,0
0,0.0165268,-7.07,-4.8,0,0,0
0,0.01688663,-7.07,-4.8,0,0,0
0,0.01633814,-7.07,-4.8,0,0,0
0,0.01673949,-7.07,-4.8,0,0,0
0,0.016746,-7.07,-4.8,0,0,0
0,0.01661401,-7.07,-4.8,0,0,0
0,0.01664377,-7.07,-4.8,0,0,0
0,0.01670178,-7.07,-4.8,0,0,0
0,0.01687469,-7.07,-4.8,0,0,0
0,0.01668288,-7.07,-4.8,0,0,0
0,0.01651157,-7.07,-4.8,0,0,0
0,0.01668428,-7.07,-4.8,0,0,0
0,0.01689828,-7.07,-4.8,0,0,0
0,0.01653139,-7.07,-4.8,0,0,0
0,0.01631713,-7.07,-4.8,0,0,0
0,0.01695594,-7.07,-4.8,0,0,0
0,0.01670017,-7.07,-4.8,0,0,0
0,0.01682757,-7.07,-4.8,0,0,0
0,0.01630226,-7.07,-4.8,0,0,0
0,0.01682197,-7.07,-4.8,0,0,0
0,0.01676527,-7.07,-4.8,0,0,0
0,0.01642499,-7.07,-4.8,0,0,0
0,0.01707539,-7.07,-4.8,0,0,0
0,0.01650643,-7.07,-4.8,0,0,0
0,0.01663975,-7.07,-4.8,0,0,0
0,0.01664064,-7.07,-4.8,0,0,0
0,0.01684905,-7.07,-4.8,0,0,0
0,0.01660022,-7.07,-4.8,0,0,0
0,0.01694171,-7.07,-4.8,0,0,0
0,0.01643996,-7.07,-4.8,0,0,0
0,0.01669634,-7.07,-4.8,0,0,0
0,0.01672634,-7.07,-4.8,0,0,0
0,0.01651485,-7.07,-4.8,0,0,0
0,0.01669868,-7.07,-4.8,0,0,0
0,0.01687137,-7.07,-4.8,0,0,0
0,0.01665956,-7.07,-4.8,0,0,0
0,0.01671285,-7.07,-4.8,0,0,0
0,0.01656265,-7.07,-4.8,0,0,0
0,0.01678013,-7.07,-4.8,0,0,0
0,0.01662191,-7.07,-4.8,0,0,0
0,0.01650247,-7.07,-4.8,0,0,0
0,0.01666074,-7.07,-4.8,0,0,0
0,0.01683194,-7.07,-4.8,0,0,0
0,0.01656008,-7.07,-4.8,0,0,0
0,0.0168861,-7.07,-4.8,0,0,0
0,0.01684851,-7.07,-4.8,0,0,0
0,0.01617027,-7.07,-4.8,0,0,0
0,0.01668621,-7.07,-4.8,0,0,0
0,0.01688855,-7.07,-4.8,0,0,0
0,0.01662645,-7.07,-4.8,0,0,0
0,0.01668108,-7.07,-4.8,0,0,0
0,0.01650574,-7.07,-4.8,0,0,0
0,0.01698888,-7.07,-4.8,0,0,0
0,0.01671252,-7.07,-4.8,0,0,0
0,0.01668532,-7.07,-4.8,0,0,0
0,0.01656341,-7.07,-4.8,0,0,0
0,0.01667786,-7.07,-4.8,0,0,0
0,0.01657762,-7.07,-4.8,0,0,0
0,0.01670419,-7.07,-4.8,0,0,0
0,0.01671154,-7.07,-4.8,0,0,0
0,0.01660031,-7.07,-4.8,0,0,0
0,0.01657867,-7.07,-4.8,0,0,0
0,0.0168936,-7.07,-4.8,0,0,0
0,0.01669069,-7.07,-4.8,0,0,0
0,0.01705251,-7.07,-4.8,0,0,0
0,0.01631621,-7.07,-4.8,0,0,0
0,0.01621518,-7.07,-4.8,0,0,0
0,0.01643154,-7.07,-4.8,0,0,0
0,0.01698942,-7.07,-4.8,0,0,0
0,0.01655613,-7.07,-4.8,0,0,0
0,0.01666698,-7.07,-4.8,0,0,0
0,0.016596,-7.07,-4.8,0,0,0
0,0.01672829,-7.07,-4.8,0,0,0
0,0.01672859,-7.07,-4.8,0,0,0
0,0.01653552,-7.07,-4.8,0,0,0
0,0.01670899,-7.07,-4.8,0,0,0
0,0.01695331,-7.07,-4.8,0,0,0
