Version: Taxi Continuous/Discontinuous v4.1.8942.21304
TriggerVersion: v4
TaskType: Discontinuous
MazeName: Open Maze MD2
NumberOfTrials: 1
PosterLocations: 
CompletionWindow: 100000
TimeoutDuration: 1000
IntersessionInterval: 1000
RewardTime: 1000
RewardViewCriteria: 45
RotationSpeed: 104.3357
MovementSpeed: 5
JoystickDeadzone: 0
AngleRestrictionAmount: 0
RequiredDistance: 1
ProximityDistance: 1
DirectionErrorDistance: 0.5
isJoystickEnabled: False
isReverseEnabled: True
isForwardEnabled: True
isRightEnabled: True
isLeftEnabled: True
isYInverted: False
isXInverted: False
RestartOnTrialFail: False
ResetPositionOnTrial: True
FaceRandomDirectionOnStart: False
MultipleWaypoints: False
DisableInterSessionBlackout: True
ResetPositionOnSession: False
EnableDirectionError: False
DisableHint: False
EnableRewardAreaError: False
RewardAreaErrorTime: -1
--- Start of Dataset --- 
 0 0.01669746 -7.0700 -4.8000 0.0000
 0 0.01669649 -7.0700 -4.8000 0.0000
 0 0.01674392 -7.0700 -4.8000 0.0000
 0 0.01688247 -7.0700 -4.8000 0.0000
 0 0.01669271 -7.0700 -4.8000 0.0000
 0 0.01639088 -7.0700 -4.8000 0.0000
 0 0.01679740 -7.0700 -4.8000 0.0000
 0 0.01658338 -7.0700 -4.8000 0.0000
 0 0.01681823 -7.0700 -4.8000 0.0000
 0 0.01659805 -7.0700 -4.8000 0.0000
 0 0.01669798 -7.0700 -4.8000 0.0000
 0 0.01669594 -7.0700 -4.8000 0.0000
 0 0.01663065 -7.0700 -4.8000 0.0000
 0 0.01678374 -7.0700 -4.8000 0.0000
 0 0.01634073 -7.0700 -4.8000 0.0000
 0 0.01675495 -7.0700 -4.8000 0.0000
 0 0.01690439 -7.0700 -4.8000 0.0000
 0 0.01657276 -7.0700 -4.8000 0.0000
 0 0.01659781 -7.0700 -4.8000 0.0000
 0 0.01683837 -7.0700 -4.8000 0.0000
 0 0.01647160 -7.0700 -4.8000 0.0000
 0 0.01688035 -7.0700 -4.8000 0.0000
 0 0.01643128 -7.0700 -4.8000 0.0000
 0 0.01685319 -7.0700 -4.8000 0.0000
 0 0.01664530 -7.0700 -4.8000 0.0000
 0 0.01680711 -7.0700 -4.8000 0.0000
 0 0.01683670 -7.0700 -4.8000 0.0000
 0 0.01641314 -7.0700 -4.8000 0.0000
 0 0.01671831 -7.0700 -4.8000 0.0000
 0 0.01668846 -7.0700 -4.8000 0.0000
 0 0.01662111 -7.0700 -4.8000 0.0000
 0 0.01665580 -7.0700 -4.8000 0.0000
 0 0.01674101 -7.0700 -4.8000 0.0000
 0 0.01675826 -7.0700 -4.8000 0.0000
 0 0.01660510 -7.0700 -4.8000 0.0000
 0 0.01636345 -7.0700 -4.8000 0.0000
 0 0.01687390 -7.0700 -4.8000 0.0000
 0 0.01680887 -7.0700 -4.8000 0.0000
 0 0.01672854 -7.0700 -4.8000 0.0000
 0 0.01659010 -7.0700 -4.8000 0.0000
 0 0.01669162 -7.0700 -4.8000 0.0000
 0 0.01680401 -7.0700 -4.8000 0.0000
 0 0.01657260 -7.0700 -4.8000 0.0000
 0 0.01682184 -7.0700 -4.8000 0.0000
 0 0.01644132 -7.0700 -4.8000 0.0000
 0 0.01688337 -7.0700 -4.8000 0.0000
 0 0.01656255 -7.0700 -4.8000 0.0000
 0 0.01639659 -7.0700 -4.8000 0.0000
 0 0.01705361 -7.0700 -4.8000 0.0000
 0 0.01655931 -7.0700 -4.8000 0.0000
 0 0.01668067 -7.0700 -4.8000 0.0000
 0 0.01671229 -7.0700 -4.8000 0.0000
 0 0.01667827 -7.0700 -4.8000 0.0000
 0 0.01675159 -7.0700 -4.8000 0.0000
 0 0.01640974 -7.0700 -4.8000 0.0000
 0 0.01688805 -7.0700 -4.8000 0.0000
 0 0.01667835 -7.0700 -4.8000 0.0000
 0 0.01651625 -7.0700 -4.8000 0.0000
 0 0.01722623 -7.0700 -4.8000 0.0000
 0 0.01629130 -7.0700 -4.8000 0.0000
 0 0.01664457 -7.0700 -4.8000 0.0000
 0 0.01675362 -7.0700 -4.8000 0.0000
 0 0.01667556 -7.0700 -4.8000 0.0000
 0 0.01666711 -7.0700 -4.8000 0.0000
 0 0.01668792 -7.0700 -4.8000 0.0000
 0 0.01652073 -7.0700 -4.8000 0.0000
 0 0.01694501 -7.0700 -4.8000 0.0000
 0 0.01646806 -7.0700 -4.8000 0.0000
 0 0.01690695 -7.0700 -4.8000 0.0000
 0 0.01662196 -7.0700 -4.8000 0.0000
 0 0.01654598 -7.0700 -4.8000 0.0000
